SCM																																																																						
29	5053	0	139	250	100	5	10	1																																																														
30	5054	0	139	250	100	5	10	1																																																														
31	5055	0	140	250	100	5	10	1																																																														
32	5056	0	140	250	100	5	10	1																																																														
33	5057	0	141	250	100	5	10	1																																																														
34	5058	0	141	250	100	5	10	1																																																														
35	5059	0	141	250	100	5	10	1																																																														
36	5060	0	142	250	100	5	10	1																																																														
37	5061	0	142	250	100	5	10	1																																																														
38	5062	0	142	250	100	5	10	1																																																														
39	5063	0	143	250	100	5	10	1																																																														
40	5064	0	143	250	100	5	10	1																																																														
41	5065	0	143	250	100	5	10	1																																																														
42	5066	0	144	250	100	5	10	1																																																														
43	5067	0	144	250	100	5	10	1																																																														
44	5068	0	144	250	100	5	10	1																																																														
45	70000	0	145	250	100	5	10	99																																																														
46	70001	0	146	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1742	0																																																																				
130	1743	0																																																																				
131	1744	0																																																																				
132	1745	0																																																																				
133	1746	0																																																																				
134	1747	0																																																																				
135	1748	0																																																																				
136	1749	0																																																																				
137	1750	0																																																																				
138	1751	0																																																																				
139	1752	0																																																																				
140	1753	0																																																																				
141	1754	0																																																																				
142	1755	0																																																																				
143	1756	0																																																																				
144	1757	0																																																																				
145	70000	0																																																																				
146	70001	0																																																																				
																																																																						
SCM																																																																						
006																																																																						
USM																																																																						
1	5069	0	129	250	100	5	10	1																																																														
2	5070	0	129	250	100	5	10	1																																																														
3	5071	0	129	250	100	5	10	1																																																														
4	5072	0	130	250	100	5	10	1																																																														
5	5073	0	130	250	100	5	10	1																																																														
6	5074	0	130	250	100	5	10	1																																																														
7	5075	0	131	250	100	5	10	1																																																														
8	5076	0	131	250	100	5	10	1																																																														
9	5077	0	131	250	100	5	10	1																																																														
10	5078	0	132	250	100	5	10	1																																																														
11	5079	0	132	250	100	5	10	1																																																														
12	5080	0	133	250	100	5	10	1																																																														
13	5081	0	133	250	100	5	10	1																																																														
14	5082	0	133	250	100	5	10	1																																																														
15	5083	0	134	250	100	5	10	1																																																														
16	5084	0	134	250	100	5	10	1																																																														
17	5085	0	135	250	100	5	10	1																																																														
18	5086	0	135	250	100	5	10	1																																																														
19	5087	0	136	250	100	5	10	1																																																														
20	5088	0	136	250	100	5	10	1																																																														
21	5089	0	137	250	100	5	10	1																																																														
22	5090	0	137	250	100	5	10	1																																																														
23	5091	0	138	250	100	5	10	1																																																														
24	5092	0	138	250	100	5	10	1																																																														
25	5093	0	139	250	100	5	10	1																																																														
26	5094	0	139	250	100	5	10	1																																																														
27	5095	0	140	250	100	5	10	1																																																														
28	5096	0	140	250	100	5	10	1																																																														
29	5097	0	141	250	100	5	10	1																																																														
30	5098	0	141	250	100	5	10	1																																																														
31	5099	0	141	250	100	5	10	1																																																														
32	5100	0	142	250	100	5	10	1																																																														
33	5101	0	142	250	100	5	10	1																																																														
34	5102	0	142	250	100	5	10	1																																																														
35	70000	0	143	250	100	5	10	99																																																														
36	70001	0	144	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1758	0																																																																				
130	1759	0																																																																				
131	1760	0																																																																				
132	1761	0																																																																				
133	1762	0																																																																				
134	1763	0																																																																				
135	1764	0																																																																				
136	1765	0																																																																				
137	1766	0																																																																				
138	1767	0																																																																				
139	1768	0																																																																				
140	1769	0																																																																				
141	1770	0																																																																				
142	70000	0																																																																				
143	70001	0																																																																				
144	70002	0																																																																				
																																																																						
SCM																																																																						
007																																																																						
USM																																																																						
1	5103	0	129	250	100	5	10	1																																																														
2	5104	0	129	250	100	5	10	1																																																														
3	5105	0	129	250	100	5	10	1																																																														
4	5106	0	130	250	100	5	10	1																																																														
5	5107	0	130	250	100	5	10	1																																																														
6	5108	0	130	250	100	5	10	1																																																														
7	5109	0	131	250	100	5	10	1																																																														
8	5110	0	131	250	100	5	10	1																																																														
9	5111	0	131	250	100	5	10	1																																																														
10	5112	0	132	250	100	5	10	1																																																														
11	5113	0	132	250	100	5	10	1																																																														
12	5114	0	133	250	100	5	10	1																																																														
13	5115	0	133	250	100	5	10	1																																																														
14	5116	0	133	250	100	5	10	1																																																														
15	5117	0	134	250	100	5	10	1																																																														
16	5118	0	134	250	100	5	10	1																																																														
17	5119	0	135	250	100	5	10	1																																																														
18	5120	0	135	250	100	5	10	1																																																														
19	5121	0	135	250	100	5	10	1																																																														
20	5122	0	136	250	100	5	10	1																																																														
21	5123	0	136	250	100	5	10	1																																																														
22	5124	0	136	250	100	5	10	1																																																														
23	5125	0	137	250	100	5	10	1																																																														
24	5126	0	137	250	100	5	10	1																																																														
25	5127	0	137	250	100	5	10	1																																																														
26	5128	0	138	250	100	5	10	1																																																														
27	5129	0	138	250	100	5	10	1																																																														
28	5130	0	138	250	100	5	10	1																																																														
29	5131	0	139	250	100	5	10	1																																																														
30	5132	0	139	250	100	5	10	1																																																														
31	5133	0	139	250	100	5	10	1																																																														
32	5134	0	140	250	100	5	10	1																																																														
33	5135	0	140	250	100	5	10	1																																																														
34	5136	0	141	250	100	5	10	1																																																														
35	5137	0	141	250	100	5	10	1																																																														
36	5138	0	141	250	100	5	10	1																																																														
37	5139	0	142	250	100	5	10	1																																																														
38	5140	0	142	250	100	5	10	1																																																														
39	5141	0	142	250	100	5	10	1																																																														
40	5142	0	143	250	100	5	10	1																																																														
41	5143	0	143	250	100	5	10	1																																																														
42	5144	0	143	250	100	5	10	1																																																														
43	5145	0	144	250	100	5	10	1																																																														
44	5146	0	144	250	100	5	10	1																																																														
45	5147	0	144	250	100	5	10	1																																																														
46	70000	0	145	250	100	5	10	99																																																														
47	70001	0	145	250	100	5	10	99																																																														
48	70002	0	146	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1771	0																																																																				
130	1772	0																																																																				
131	1773	0																																																																				
132	1774	0																																																																				
133	1775	0																																																																				
134	1776	0																																																																				
135	1777	0																																																																				
136	1778	0																																																																				
137	1779	0																																																																				
138	1780	0																																																																				
139	1781	0																																																																				
140	1782	0																																																																				
141	1783	0																																																																				
142	1784	0																																																																				
143	1785	0																																																																				
144	1786	0																																																																				
145	70000	0																																																																				
146	70001	0																																																																				
																																																																						
SCM																																																																						
008																																																																						
USM																																																																						
1	5148	0	129	250	100	5	10	1																																																														
2	5149	0	129	250	100	5	10	1																																																														
3	5150	0	129	250	100	5	10	1																																																														
4	5151	0	130	250	100	5	10	1																																																														
5	5152	0	130	250	100	5	10	1																																																														
6	5153	0	130	250	100	5	10	1																																																														
7	5154	0	131	250	100	5	10	1																																																														
8	5155	0	131	250	100	5	10	1																																																														
9	5156	0	131	250	100	5	10	1																																																														
10	5157	0	132	250	100	5	10	1																																																														
11	5158	0	132	250	100	5	10	1																																																														
12	5159	0	133	250	100	5	10	1																																																														
13	5160	0	133	250	100	5	10	1																																																														
14	5161	0	133	250	100	5	10	1																																																														
15	5162	0	134	250	100	5	10	1																																																														
16	5163	0	134	250	100	5	10	1																																																														
17	5164	0	134	250	100	5	10	1																																																														
18	5165	0	135	250	100	5	10	1																																																														
19	5166	0	135	250	100	5	10	1																																																														
20	5167	0	135	250	100	5	10	1																																																														
21	5168	0	136	250	100	5	10	1																																																														
22	5169	0	136	250	100	5	10	1																																																														
23	5170	0	137	250	100	5	10	1																																																														
24	5171	0	137	250	100	5	10	1																																																														
25	5172	0	138	250	100	5	10	1																																																														
26	5173	0	138	250	100	5	10	1																																																														
27	5174	0	138	250	100	5	10	1																																																														
28	5175	0	139	250	100	5	10	1																																																														
29	5176	0	139	250	100	5	10	1																																																														
30	5177	0	139	250	100	5	10	1																																																														
31	5178	0	140	250	100	5	10	1																																																														
